"gender","Grade","LxclScor","FlldScor","cnfgrtnLR","cnfgrtnUD","RdcNoMuti","RdcNodub","trspT","trspV","SRngA","SRngH","PType_Onset","PType_Rime","PType_Tone","PType_None","PType_Mark","PType_1of3","PType_2of3","PType_3of3","MMCScor","MMPScor","MMFScor","COnstScor","CRimScor","CTnScor","POnstScor","PRimScor","PTnScor","DD","stud_ids"
"1","6",50,50,19,29,23,25,23,25,14,34,28,21,24,5,5,14,13,11,48,0,2,0,2,0,0,2,0,"Normal",11180401
"1","6",50,50,17,26,22,21,20,23,12,31,26,20,23,4,5,12,9,13,43,2,2,5,3,2,2,2,1,"Normal",11180402
"1","6",50,50,18,27,21,24,22,23,12,33,27,19,24,5,4,13,12,11,45,0,2,3,4,2,2,4,1,"Normal",11180403
"1","6",38,45,10,8,10,8,7,11,5,13,12,14,14,1,2,2,1,12,18,1,4,12,9,2,9,3,4,"Normal",11180404
"1","6",29,32,9,6,6,9,6,9,5,10,9,9,9,2,2,2,2,7,15,4,2,11,10,2,3,3,2,"Normal",11180405
"1","6",42,46,8,21,15,14,15,14,5,24,17,14,18,3,1,9,8,8,29,1,3,6,8,10,6,5,3,"Normal",11180406
"1","6",49,50,17,25,22,20,20,22,12,30,24,18,21,5,5,12,9,11,42,2,1,3,3,3,1,2,0,"Normal",11180407
"1","6",43,50,8,16,11,13,14,10,4,20,13,9,12,2,2,10,6,4,24,2,2,12,6,7,8,5,6,"Normal",11180408
"1","6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Dyslexia",11180409
"1","6",48,50,14,23,18,19,16,21,10,27,23,17,17,4,4,10,10,9,37,2,0,6,4,9,3,4,7,"Normal",11180410
"1","6",46,50,12,21,18,15,17,16,8,25,20,16,20,4,2,7,11,9,33,0,1,5,7,11,4,4,4,"Normal",11180411
"1","6",39,44,10,6,8,8,5,11,5,11,8,11,12,1,2,3,2,8,16,3,4,14,12,2,10,3,3,"Normal",11180412
"1","6",38,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,10,12,11,7,7,"Dyslexia",11180413
"1","6",49,50,20,27,22,25,22,25,13,34,28,23,24,5,5,12,12,13,47,0,1,0,0,2,0,1,1,"Normal",11180414
"1","6",49,50,17,28,22,23,24,21,13,32,27,20,23,4,5,13,12,11,45,0,1,2,1,2,2,0,1,"Normal",11180415
"1","6",45,50,8,20,13,15,18,10,5,23,16,14,16,3,3,6,8,8,28,0,2,9,6,6,8,3,5,"Normal",11180416
"1","6",48,50,17,23,18,22,21,19,11,29,25,16,20,3,4,14,10,9,40,1,1,6,7,1,2,4,2,"Normal",11180417
"1","6",49,50,12,23,18,17,18,17,8,27,24,18,18,3,1,12,9,10,35,1,2,9,5,10,4,5,6,"Normal",11180418
"1","6",43,48,9,8,9,8,7,10,4,13,12,10,13,2,1,2,3,9,17,2,4,17,12,10,11,9,6,"Normal",11180419
"1","6",50,50,20,28,23,25,24,24,13,35,28,23,24,5,5,14,11,13,48,0,0,1,0,2,1,0,2,"Normal",11180421
"1","6",50,50,18,28,22,24,22,24,11,35,27,20,24,5,5,12,13,11,46,0,3,2,1,1,3,2,1,"Normal",11180422
"1","6",33,37,8,11,9,10,10,9,5,14,11,12,13,0,3,4,4,8,19,1,0,5,7,8,5,2,4,"Normal",11180423
"1","6",46,49,8,17,10,15,16,9,4,21,16,13,15,1,3,6,7,8,25,0,2,12,9,9,9,4,7,"Normal",11180425
"1","6",49,50,17,28,21,24,23,22,10,35,26,21,23,5,5,12,11,12,45,1,1,4,0,4,2,1,1,"Normal",11180426
"1","6",42,49,8,8,8,8,7,9,3,13,8,7,9,3,2,2,5,4,16,1,2,23,4,20,15,2,11,"Normal",11180427
"0","6",49,50,19,26,21,24,20,25,13,32,27,23,24,5,4,11,12,13,45,0,1,2,2,3,2,1,1,"Normal",11180428
